Sickness_Name,Symptoms
alpha-1 antitrypsin (aat) deficiency,"['wheezing whistling sounds breathe', 'colds often', 'feeling tired', 'fast heartbeat stand', 'weight loss', 'vitamin', 'medicines ease', 'treatments bleeding fluid belly']"
achilles tendon injury,"['heard pop snap time injury', 'bear weight foot ankle', 'pain keeps night', 'leg swelling', 'foot ankle turns different color', 'foot ankle feels hotter colder rest leg', 'signs infection like high fever feeling run']"
epilepsy corpus callosotomy,"['scalp numbness', 'nausea', 'feeling tired depressed', 'headaches', 'difficulty speaking remembering things finding words', 'paralysis weakness loss sensation', 'change personality']"
amenorrhea,"['pain', 'changes', 'headaches', 'acne', 'hair loss', 'milky discharge nipples']"
bursitis,"['imaging tests', 'lab tests']"
dwarfism,"['larger head', 'late development certain motor skills sitting walking', 'breathing problems', 'curvature spine', 'bowed legs', 'joint stiffness', 'lower back pain', 'crowding teeth']"
bunions,"['swelling', 'redness', 'tenderness touch', 'pain', 'limited movement joint toe', 'corns calluses']"
bird flu,"['gut problems nausea belly pain diarrhea vomiting', 'breathing problems shortness breath serious respiratory distress failure pneumonia respiratory diseases', 'brain nervous system changes might notice shifts behavior thinking even organ function seizures possible serious cases']"
autosomal dominant polycystic kidney disease,"['pain', 'blood', 'swelling belly cysts grow', 'fatigue', 'need pee often', 'irregular periods', 'nausea', 'shortness breath', 'swollen ankles', 'erectile dysfunction']"
pudendal neuralgia,"['sharp burning pain', 'sensitivity', 'numbness pins needles feeling like leg falls asleep', 'swollen feeling', 'sudden frequent need bathroom', 'trouble pain sex', 'men problems getting erection']"
brucellosis,"['fever common symptom high spikes usually occur afternoon', 'back pain', 'body wide aches pains', 'poor appetite weight loss', 'headache', 'night sweats', 'weakness', 'abdominal pain', 'cough', 'abortus', 'canis', 'suis', 'melitensis', 'fatigue', 'fevers', 'joint pain', 'miscarriage', 'birth defects baby']"
yellow fever,"['fever chills', 'flu', 'jaundice', 'hepatitis', 'internal bleeding hemorrhaging', 'vomiting', 'shock', 'multisystem organ failure leading death']"
burning mouth syndrome,"['burning feeling tongue roof mouth gums inside cheeks back throat may relieved eating drinking', 'numbness tingling tongue come', 'trouble swallowing', 'dry mouth', 'sore throat', 'changes taste bad taste metal mouth', 'allergy test', 'biopsy', 'blood', 'scan several rays taken different angles put together show complete picture', 'mri powerful magnets radio waves combine make detailed images', 'salivary flow tests measure', 'medicines help nerve related pain amitriptyline', 'capsaicin', 'clonazepam', 'female', 'mouth rinses', 'products replace', 'vitamin', 'avoid acidic foods like tomatoes orange citrus juices', 'avoid', 'avoid cinnamon mint', 'avoid spicy foods', 'avoid', 'chew', 'drink lot fluids', 'reduce stress', 'stay socially active join pain support group', 'suck crushed ice']"
cystic lung disease,"['chest pain', 'tiredness', 'coughing', 'shortness breath', 'wheezing', 'chest pain', 'fever', 'night sweats', 'tiredness', 'weight loss']"
cyclic migraines,"['stress', 'changes', 'changes weather', 'dehydration', 'alcohol', 'types foods', 'strong smells foods chemicals perfume']"
cushing's syndrome,"['rounded rosy face', 'weight gain', 'fat pad upper back base neck may hear called buffalo hump', 'thinning skin easy', 'acne', 'weak muscles especially using shoulders hip muscles', 'high blood pressure', 'high', 'depression', 'osteoporosis', 'kidney stones', 'sleep', 'extra hair growth body face', 'irregular periods', 'low', 'decreased', 'amount extra cortisol', 'cause high cortisol', 'long condition', 'overall health']"
dyslexia,"['hard learn remember letters alphabet', 'gets letters words mixed', 'falls behind peers language skills', 'mispronounces familiar words', 'trouble letters mistaking', 'recognize rhyming patterns like humpty dumpty sat wall humpty dumpty great fall']"
abnormal uterine bleeding,"['blood work', 'ultrasound', 'hysteroscopy', 'biopsy', 'magnetic resonance imaging', 'hormones', 'gonadotropin releasing hormone agonists gnrha gnrha antagonists', 'nsaids', 'tranexamic acid', 'iud', 'endometrial ablation', 'myomectomy uterine', 'hysterectomy']"
ovarian cysts,"['pelvic pain pressure', 'dull ache back', 'bloating', 'nausea', 'swelling belly area', 'pain sex', 'pain period', 'frequent urge pee poop', 'bloating pressure belly', 'urges pee often', 'pain lower belly pelvis', 'pain lower back', 'fatigue', 'changes often poop including constipation', 'losing weight known reason']"
peptic ulcer,"['bloated feeling', 'burping', 'lack appetite weight loss', 'nausea', 'bloody dark', 'vomiting']"
losing voice,"['pain swallowing', 'pain ear', 'trouble breathing', 'lump neck']"
duchenne muscular dystrophy,"['curved spine also called', 'shortened tight muscles legs called contractures', 'headaches', 'problems learning memory', 'shortness breath', 'sleepiness', 'trouble concentrating', 'old child started walking', 'well things like run climb stairs get floor', 'long noticed problems', 'anyone else family', 'well pay attention remember things']"
meningioma,"['headaches', 'seizures', 'blurred vision', 'weakness arms legs', 'numbness', 'speech problems']"
apert syndrome,"['head long high forehead', 'wide set bulging', 'sunken middle face', 'poor intellectual development children apert syndrome', 'obstructive sleep apnea', 'repeated ear', 'hearing loss', 'crowded teeth due underdevelopment jaw']"
juvenile idiopathic arthritis,"['fevers', 'pink', 'eye', 'joint pain stiffness', 'limping', 'swelling joints', 'less active', 'trouble movements hands fingers affecting things like handwriting coloring', 'problems bone development growth']"
encephalitis,"['fever', 'drowsiness lethargy possibly', 'headaches', 'personality changes irritability emotional outbursts', 'confusion', 'weakness one areas body', 'seizures', 'bulging soft spots infants']"
reflex sympathetic dystrophy syndrome,"['amputation', 'bruises', 'burns', 'cuts', 'fractures', 'minor surgery', 'needle sticks', 'radiation therapy', 'sprains', 'changes', 'excess sweat certain areas body', 'muscle weakness spasms', 'stiff joints', 'trouble moving injured area', 'white mottled red blue skin', 'electrodes spinal cord send small electric shocks relieve pain', 'physical therapy', 'psychotherapy', 'splints help']"
allergic insect stings,"['pain', 'redness', 'pimple like spots', 'mild moderate swelling', 'warmth', 'itching', 'trouble breathing', 'hives', 'swelling face throat part mouth tongue', 'wheezing', 'restlessness', 'rapid pulse', 'dizziness', 'stomach']"
anaplastic large-cell lymphoma,"['skin called', 'lymph nodes organs called systemic alcl often spreads quickly', 'alk positive cancers common young people usually respond well', 'alk negative cancers common people type may need stronger treatment likely come back', 'fatigue', 'fever', 'loss appetite', 'night sweats', 'weight loss']"
alcohol poisoning,"['severe confusion', 'trouble staying awake', 'throwing', 'seizures', 'slow breathing fewer eight breaths per minute', 'long pauses breaths seconds', 'slow heartbeat', 'low body temperature', 'bluish gray pale skin', 'slow responses gag reflex']"
bartter syndrome,"['indomethacin anti inflammatory drug helps body make less urine', 'potassium sparing diuretics help keep potassium', 'raas inhibitors help keep losing potassium', 'calcium', 'food high salt', 'fluids put directly vein infants severe forms']"
get motion sickness,"['relax find something focus whether taking deep breaths counting backwards 100 closing', 'look stable object boat look horizon car look windshield', 'avoid', 'breathe fresh air smoke', 'avoid reading']"
fetal alcohol syndrome,"['small head brain size', 'vision hearing problems', 'joint limb finger deformities', 'distinctive facial features like small eyes thin upper lip ridge nose upper lip', 'learning problems', 'coordination balance problems', 'trouble reasoning', 'hyperactivity', 'moodiness', 'poor social skills', 'difficulty school', 'poor impulse control', 'diagnosed age', 'loving nurturing stable home school years', 'exposed violence', 'get special education social services']"
myelofibrosis,"['fatigue', 'frequent infections low', 'easy bleeding bruising lack platelets blood thrombocytopenia', 'swollen liver hepatomegaly spleen splenomegaly', 'night sweats', 'itchy skin', 'fever', 'bone joint pain', 'weight loss', 'blood clots', 'bleeding stomach esophagus', 'high blood pressure', 'blood tests', 'imaging tests', 'gene tests', 'bone marrow tests', 'glucocorticoid drugs', 'human made male hormones androgens like', 'drugs affect immune system immunomodulators', 'oral kinase inhibitor', 'chemotherapy drugs like', 'blood transfusions', 'hydroxyurea', 'interferon']"
age-related macular degeneration (amd),"['acupuncture treatment involves placing tiny needles specific points body people practice acupuncture think helps amd increasing blood flow eyes', 'microcurrent stimulation involves applying slight electric current area around eyes idea could help cells retina get rid waste products', 'macular hole small hole forms macula leading distorted vision', 'myopic macular degeneration affects people serious myopia nearsightedness', 'stargardt disease also known juvenile macular degeneration hereditary condition affects young people', 'diabetic retinopathy complication diabetes causes damage blood vessels retina']"
acromegaly,"['achy joints possibly leading arthritis', 'stiff rough body hair', 'hoarser deeper voice', 'pinched nerve problems', 'skin oily thick', 'skin tags', 'sweating lot body odor', 'headaches', 'snoring sleep apnea breathing problem happens sleep', 'weakness tired', 'tingling pain fingers carpal tunnel syndrome', 'vision problems', 'lower sex drive', 'changes menstrual cycle breast discharge women', 'erectile dysfunction men', 'somatostatin analogs lanreotide octreotide pasireotide', 'growth hormone receptor antagonists pegvisomant', 'dopamine agonists cabergoline bromocriptine']"
signs nervous breakdown,"['low self esteem', 'fearfulness', 'irritability', 'worrying', 'feeling helpless', 'getting angry easily', 'withdrawing family friends', 'losing interest favorite activities', 'difficulty', 'uncontrollable crying', 'thoughts self harm suicide']"
amyloidosis,"['changes skin color', 'severe fatigue', 'feeling fullness', 'joint pain', 'low red blood cell count anemia', 'shortness breath', 'swelling tongue', 'tingling numbness legs feet', 'weak hand grip', 'severe weakness', 'sudden weight loss', 'shortness breath light activity lying', 'irregular heartbeat', 'signs heart failure including swelling feet ankles weakness fatigue nausea among others', 'blood urine tests', 'imaging tests see inside body like ultrasound echocardiogram electrocardiogram mri scan', 'biopsy', 'genetic testing cardiac amyloidosis runs family', 'medications including chemotherapy immunotherapy', 'pacemaker', 'stem cell transplant', 'high dose chemotherapy stem cell transplant help remove substance leads amyloid formation people primary amyloidosis chemotherapy medicines alone may used treat patients primary amyloidosis', 'secondary amyloidosis treated controlling underlying disorder powerful anti inflammatory medicines called steroids fight inflammation', 'liver transplant may treat disease certain types hereditary amyloidosis', 'new therapies slow production abnormal protein ttr', 'doctor might also recommend kidney transplant', 'diuretic medicine remove extra water body', 'thickeners add fluids prevent choking trouble swallowing', 'compression stockings relieve swelling legs feet', 'changes eat especially gastrointestinal amyloidosis']"
supraventricular tachycardia (svt),"['whether symptoms came suddenly slowly', 'feel like long last', 'fast heartbeat caffeine stress', 'anyone family heart problems procedures', 'feel', 'get temperature measure', 'take small', 'holter monitor', 'event monitor']"
agoraphobia,"['outside house', 'open space like parking lot mall', 'enclosed space like theatre small office', 'line crowd', 'public transportation including planes']"
